"","Managed Area Name","Year","Number of Samples","Minimum Value (Total Nitrogen mg/L)","Maximum Value (Total Nitrogen mg/L)","Median (Total Nitrogen mg/L)","Mean (Total Nitrogen mg/L)","Standard Deviation (Total Nitrogen mg/L)","Programs with Data"
"1","Alligator Harbor Aquatic Preserve",2001,30,2e-04,0.0012,0.00065,0.00063,0.000235108192262553,"514"
"2","Alligator Harbor Aquatic Preserve",2002,48,1e-04,9e-04,4e-04,0.000447916666666667,0.000211367969285122,"514"
"3","Alligator Harbor Aquatic Preserve",2003,6,3e-04,7e-04,0.00045,5e-04,0.000167332005306815,"514"
"4","Alligator Harbor Aquatic Preserve",2006,72,1e-04,8e-04,3e-04,0.00035,0.000166994981791855,"514"
"5","Alligator Harbor Aquatic Preserve",2007,77,1e-04,9e-04,4e-04,0.000403896103896104,0.000180234904062769,"514"
"6","Alligator Harbor Aquatic Preserve",2008,77,1e-04,8e-04,3e-04,0.000311688311688312,0.000125628971237599,"514"
"7","Alligator Harbor Aquatic Preserve",2009,56,1e-04,8e-04,3e-04,0.000330357142857143,0.000153646161218375,"514"
"8","Alligator Harbor Aquatic Preserve",2010,35,2e-04,9e-04,3e-04,0.000368571428571429,0.000179495090169503,"514"
"9","Alligator Harbor Aquatic Preserve",2011,14,1e-04,5e-04,2e-04,0.000242857142857143,0.000122249969100425,"514"
"10","Alligator Harbor Aquatic Preserve",2016,28,2e-04,0.0012,4e-04,0.000525,0.000251845043480959,"514"
"11","Alligator Harbor Aquatic Preserve",2017,84,2e-04,0.0011,4e-04,0.000452380952380952,0.000233607739637109,"514"
"12","Alligator Harbor Aquatic Preserve",2018,84,2e-04,0.0013,4e-04,0.000447619047619048,0.000233607739637109,"514"
"13","Alligator Harbor Aquatic Preserve",2019,70,1e-04,9e-04,3e-04,0.00036,0.000189889365195876,"514"
"14","Apalachicola Bay Aquatic Preserve",2000,113,0,0.73,0.004,0.175769911504425,0.254010615949749,"5002"
"15","Apalachicola Bay Aquatic Preserve",2001,315,0,4.3,0.028,0.184984126984127,0.350153955769281,"5002"
"16","Apalachicola Bay Aquatic Preserve",2002,890,0,0.94,0.007,0.0980561797752809,0.178191745887961,"5002;355"
"17","Apalachicola Bay Aquatic Preserve",2003,697,0,0.696,0.007,0.0769784791965567,0.132545593311526,"5002;355"
"18","Apalachicola Bay Aquatic Preserve",2004,668,0,0.487,0.0035,0.0415658682634731,0.0769274478751006,"355"
"19","Apalachicola Bay Aquatic Preserve",2005,588,0,0.709,0,0.0744302721088435,0.123767712178012,"355"
"20","Apalachicola Bay Aquatic Preserve",2006,522,0,0.592,0.0035,0.0524291187739464,0.112825922660415,"355"
"21","Apalachicola Bay Aquatic Preserve",2007,615,0,1.4,5e-04,0.0691321951219512,0.175856274148026,"5002;355;514"
"22","Apalachicola Bay Aquatic Preserve",2008,426,0,0.438,0,0.0374274647887324,0.0743319962562552,"355;514"
"23","Apalachicola Bay Aquatic Preserve",2009,436,0,0.475,0.004,0.0610940366972477,0.100478134460126,"355"
"24","Apalachicola Bay Aquatic Preserve",2010,309,0,0.493,0.004,0.0645177993527508,0.11608982684301,"355"
"25","Apalachicola Bay Aquatic Preserve",2011,240,0,0.526,0.003,0.0347041666666667,0.0827977824939384,"355"
"26","Apalachicola Bay Aquatic Preserve",2012,316,0,0.336,0,0.0190126582278481,0.0415469881003783,"355"
"27","Apalachicola Bay Aquatic Preserve",2013,634,0,1.417,0.0495,0.292753943217666,0.396319285040896,"355"
"28","Apalachicola Bay Aquatic Preserve",2014,818,0,1.31,0.3,0.330432762836186,0.328813799980283,"355"
"29","Apalachicola Bay Aquatic Preserve",2015,845,0,1.01,0.28,0.301132544378698,0.284338283849286,"355"
"30","Apalachicola Bay Aquatic Preserve",2016,795,0,1,0.24,0.320850314465409,0.320260385220902,"355"
"31","Apalachicola Bay Aquatic Preserve",2017,812,0,1.51,0.2,0.31812315270936,0.353070473372328,"355"
"32","Apalachicola Bay Aquatic Preserve",2018,700,0,1.329,0.205,0.323545714285714,0.35006348808432,"355"
"33","Apalachicola Bay Aquatic Preserve",2019,705,0,1.12,0.3,0.2854,0.276319744383863,"355"
"34","Apalachicola National Estuarine Research Reserve",2000,148,0,0.73,0.004,0.17222972972973,0.242224865859686,"5002"
"35","Apalachicola National Estuarine Research Reserve",2001,412,0,4.3,0.0095,0.174179611650485,0.320173222233484,"5002"
"36","Apalachicola National Estuarine Research Reserve",2002,1056,0,0.94,0.007,0.102971590909091,0.17787377479797,"5002;355"
"37","Apalachicola National Estuarine Research Reserve",2003,805,0,0.978,0.007,0.0913291925465839,0.159060729367229,"5002;355"
"38","Apalachicola National Estuarine Research Reserve",2004,764,0,0.673,0.0035,0.0523992146596859,0.101956478518205,"355"
"39","Apalachicola National Estuarine Research Reserve",2005,678,0,0.709,0,0.0824941002949852,0.138311795756893,"355"
"40","Apalachicola National Estuarine Research Reserve",2006,594,0,0.621,0.0035,0.0617727272727273,0.127110502298485,"355"
"41","Apalachicola National Estuarine Research Reserve",2007,933,0,1.4,0.002,0.113012111468382,0.198329260774438,"5002;355;514"
"42","Apalachicola National Estuarine Research Reserve",2008,516,0,0.643,0,0.0540133720930233,0.11322607831737,"5002;355;514"
"43","Apalachicola National Estuarine Research Reserve",2009,493,0,0.615,0.004,0.0692089249492901,0.11457779939982,"355"
"44","Apalachicola National Estuarine Research Reserve",2010,374,0,0.52,0.004,0.0818582887700535,0.140668677803647,"355"
"45","Apalachicola National Estuarine Research Reserve",2011,302,0,0.684,0.004,0.058841059602649,0.132265417880033,"355"
"46","Apalachicola National Estuarine Research Reserve",2012,388,0,0.635,0,0.0345309278350515,0.0897889663183729,"355"
"47","Apalachicola National Estuarine Research Reserve",2013,709,0,1.417,0.058,0.290654442877292,0.384594427104021,"355"
"48","Apalachicola National Estuarine Research Reserve",2014,918,0,1.31,0.31,0.330589324618736,0.323194790492186,"355"
"49","Apalachicola National Estuarine Research Reserve",2015,953,0,1.01,0.29,0.29892444910808,0.280444194032858,"355"
"50","Apalachicola National Estuarine Research Reserve",2016,899,0,1,0.26,0.31989766407119,0.314698566463145,"355"
"51","Apalachicola National Estuarine Research Reserve",2017,908,0,1.51,0.24,0.314169603524229,0.344232617116599,"355"
"52","Apalachicola National Estuarine Research Reserve",2018,806,0,1.329,0.2325,0.3185682382134,0.339656153766096,"355"
"53","Apalachicola National Estuarine Research Reserve",2019,809,0,1.24,0.3,0.288972805933251,0.276421562920996,"355"
"54","Banana River Aquatic Preserve",2005,38,0,1.3,0.049,0.416342105263158,0.543445279391353,"5002"
"55","Banana River Aquatic Preserve",2006,76,0,3.1,0.031,0.445052631578947,0.648514299914028,"5002"
"56","Banana River Aquatic Preserve",2008,114,0,1.7,0.039,0.453649122807018,0.624230967330559,"5002"
"57","Banana River Aquatic Preserve",2009,101,0,1.6,0.056,0.548029702970297,0.679274060382782,"5002"
"58","Big Bend Seagrasses Aquatic Preserve",1992,2,0.24,0.7,0.47,0.47,0.325269119345812,"5002"
"59","Big Bend Seagrasses Aquatic Preserve",1993,5,1e-04,0.52,2e-04,0.13608,0.225505669551788,"5002;514"
"60","Big Bend Seagrasses Aquatic Preserve",1994,10,1e-04,7e-04,0.00025,3e-04,2e-04,"514"
"61","Big Bend Seagrasses Aquatic Preserve",1995,15,1e-04,0.76,3e-04,0.207433333333333,0.268763237990686,"5002;514"
"62","Big Bend Seagrasses Aquatic Preserve",1996,117,3e-04,1.47,0.4,0.400221367521367,0.386463814121969,"5002;514"
"63","Big Bend Seagrasses Aquatic Preserve",1997,158,6e-04,2.4,0.3,0.421131012658228,0.425729895067732,"5002;514"
"64","Big Bend Seagrasses Aquatic Preserve",1998,56,5e-04,0.9,0.001,0.180667857142857,0.282367733868213,"5002;514"
"65","Big Bend Seagrasses Aquatic Preserve",1999,112,1e-04,1.91,7e-04,0.123940178571429,0.348741425794001,"5002;514"
"66","Big Bend Seagrasses Aquatic Preserve",2000,138,0,1.27,7e-04,0.0860876811594203,0.255240301674644,"5002;514"
"67","Big Bend Seagrasses Aquatic Preserve",2001,195,0,1.35,6e-04,0.0848302564102564,0.244837433247055,"5002;514"
"68","Big Bend Seagrasses Aquatic Preserve",2002,195,1e-04,2,6e-04,0.0910492307692308,0.320354540285235,"5002;514"
"69","Big Bend Seagrasses Aquatic Preserve",2003,141,1e-04,1.76,6e-04,0.19027304964539,0.386804569495729,"5002;514"
"70","Big Bend Seagrasses Aquatic Preserve",2004,111,2e-04,1.57,6e-04,0.171520720720721,0.403931517624442,"5002;514"
"71","Big Bend Seagrasses Aquatic Preserve",2005,158,2e-04,2.31,6e-04,0.219807594936709,0.46315318916083,"5002;514"
"72","Big Bend Seagrasses Aquatic Preserve",2006,200,0,1.9,5e-04,0.145718,0.318845487344576,"5002;514"
"73","Big Bend Seagrasses Aquatic Preserve",2007,106,1e-04,0.845,5e-04,0.0275160377358491,0.134639225259345,"5002;514"
"74","Big Bend Seagrasses Aquatic Preserve",2008,36,4e-04,0.001,7e-04,0.000680555555555556,0.000134842647862387,"514"
"75","Big Bend Seagrasses Aquatic Preserve",2009,38,4e-04,9e-04,7e-04,0.000665789473684211,0.000154703405489297,"514"
"76","Big Bend Seagrasses Aquatic Preserve",2010,81,3e-04,8e-04,6e-04,0.000601234567901235,9.41990275434065e-05,"514"
"77","Big Bend Seagrasses Aquatic Preserve",2011,72,3e-04,8e-04,5e-04,0.000513888888888889,0.000109165277918271,"514"
"78","Big Bend Seagrasses Aquatic Preserve",2012,69,3e-04,7e-04,4e-04,0.000459420289855072,8.62943672412157e-05,"514"
"79","Big Bend Seagrasses Aquatic Preserve",2013,72,2e-04,6e-04,5e-04,0.0004625,8.79140104843171e-05,"514"
"80","Big Bend Seagrasses Aquatic Preserve",2014,71,2e-04,9e-04,4e-04,0.000449295774647887,9.39197825451056e-05,"514"
"81","Big Bend Seagrasses Aquatic Preserve",2015,88,3e-04,0.511,6e-04,0.0715840909090909,0.146032429783899,"5002;514"
"82","Big Bend Seagrasses Aquatic Preserve",2016,140,2e-04,0.616,0.117,0.192810714285714,0.200063661701217,"5002;514"
"83","Big Bend Seagrasses Aquatic Preserve",2017,190,1e-04,0.622,0.03,0.135445263157895,0.183186515681991,"5002;514"
"84","Big Bend Seagrasses Aquatic Preserve",2018,397,2e-04,1.504,0.356,0.311290176322418,0.212823613667668,"5002;514"
"85","Big Bend Seagrasses Aquatic Preserve",2019,455,3e-04,0.736,0.325,0.294651428571429,0.157308940660826,"5002;514"
"86","Big Bend Seagrasses Aquatic Preserve",2020,20,0.245,0.446,0.354,0.34665,0.0538782985313343,"5002"
"87","Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve",2004,4,0,0,0,0,0,"3"
"88","Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve",2007,2,0,0,0,0,0,"3"
"89","Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve",2009,3,0,0,0,0,0,"3"
"90","Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve",2010,2,0,0,0,0,0,"3"
"91","Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve",2011,3,0,0,0,0,0,"3"
"92","Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve",2012,1,0,0,0,0,NA,"3"
"93","Biscayne Bay Aquatic Preserve",2000,27,2e-04,7e-04,3e-04,0.000374074074074074,0.000165465758931923,"514"
"94","Biscayne Bay Aquatic Preserve",2001,30,2e-04,6e-04,4e-04,0.000406666666666667,0.000111210683353507,"514"
"95","Biscayne Bay Aquatic Preserve",2002,62,0,9.193,0.00045,0.446803225806452,1.48210653296967,"3;514"
"96","Biscayne Bay Aquatic Preserve",2003,101,0,14.989,2e-04,0.973619801980198,2.31869181591775,"3;514"
"97","Biscayne Bay Aquatic Preserve",2004,125,0,13.9,2e-04,0.6593376,1.58590708259445,"3;514"
"98","Biscayne Bay Aquatic Preserve",2005,118,0,20.3,2e-04,1.62297627118644,3.74677316094837,"3;514"
"99","Biscayne Bay Aquatic Preserve",2006,71,0,25.8,0,1.38676056338028,4.36785556231885,"3"
"100","Biscayne Bay Aquatic Preserve",2007,48,0,16.3,0.06,2.11770833333333,3.97021047707417,"3"
"101","Biscayne Bay Aquatic Preserve",2008,28,0,6,0.145,0.906071428571429,1.60654526808699,"3"
"102","Biscayne Bay Aquatic Preserve",2009,67,0,11.57,0,0.737417910447761,1.85695130685702,"3"
"103","Biscayne Bay Aquatic Preserve",2010,58,0,21.028,0,2.07287931034483,3.61601503585984,"3"
"104","Biscayne Bay Aquatic Preserve",2011,68,0,5.071,0.0895,0.821808823529412,1.08694634913188,"3"
"105","Biscayne Bay Aquatic Preserve",2012,48,0,9.899,0.169,1.134625,1.79094984456424,"3"
"106","Boca Ciega Bay Aquatic Preserve",1999,16,0.02,0.69,0.15,0.201875,0.207307139288545,"5002"
"107","Boca Ciega Bay Aquatic Preserve",2000,2,0.02,0.34,0.18,0.18,0.226274169979695,"5002"
"108","Boca Ciega Bay Aquatic Preserve",2001,14,0.02,0.57,0.22,0.240714285714286,0.231598601221838,"5002"
"109","Boca Ciega Bay Aquatic Preserve",2004,230,0.009,1.07,0.0925,0.267804347826087,0.279123270224849,"5002"
"110","Boca Ciega Bay Aquatic Preserve",2005,326,0,1.2,0.02,0.21241717791411,0.298051845070896,"5002"
"111","Boca Ciega Bay Aquatic Preserve",2006,350,0,1.25,0.02,0.166685714285714,0.285876500819559,"5002"
"112","Boca Ciega Bay Aquatic Preserve",2007,326,0,0.98,0.02,0.168128834355828,0.265992241581228,"5002"
"113","Boca Ciega Bay Aquatic Preserve",2008,287,0,0.94,0.02,0.171428571428571,0.262258308885382,"5002"
"114","Boca Ciega Bay Aquatic Preserve",2009,358,0,1.02,0.02,0.199413407821229,0.284194161819774,"5002"
"115","Boca Ciega Bay Aquatic Preserve",2010,300,0,0.9,0.02,0.157443333333333,0.255268774588318,"5002"
"116","Boca Ciega Bay Aquatic Preserve",2011,210,0,1.1,0.02,0.176471428571429,0.259249028905375,"5002"
"117","Boca Ciega Bay Aquatic Preserve",2012,304,0,1.59,0.02,0.203486842105263,0.296611801657325,"5002"
"118","Boca Ciega Bay Aquatic Preserve",2013,267,0,0.74,0.01,0.091498127340824,0.192033055866307,"5002"
"119","Boca Ciega Bay Aquatic Preserve",2014,281,0,0.66,0.01,0.0911743772241993,0.190177665576128,"5002"
"120","Boca Ciega Bay Aquatic Preserve",2015,291,0,0.88,0.01,0.194982817869416,0.268099794300101,"5002"
"121","Boca Ciega Bay Aquatic Preserve",2016,319,0,1.04,0.01,0.214451410658307,0.300660065244637,"5002"
"122","Boca Ciega Bay Aquatic Preserve",2017,339,0,1.19,0.01,0.233215339233038,0.330399593464709,"5002"
"123","Boca Ciega Bay Aquatic Preserve",2018,242,0.01,1.33,0.22,0.379917355371901,0.396171503722115,"5002"
"124","Boca Ciega Bay Aquatic Preserve",2019,303,0.01,1.83,0.02,0.38960396039604,0.414333233115247,"5002"
"125","Boca Ciega Bay Aquatic Preserve",2020,122,0.01,1.71,0.24,0.474262295081967,0.50453139707327,"5002"
"126","Cape Haze Aquatic Preserve",2006,2,0.011,0.565,0.288,0.288,0.391737156777347,"5002"
"127","Cape Haze Aquatic Preserve",2015,3,0,0.73,0.008,0.246,0.419175380956468,"5002"
"128","Cape Romano-Ten Thousand Islands Aquatic Preserve",1989,10,0,0.68,0.085,0.243,0.284645978951633,"5002"
"129","Cape Romano-Ten Thousand Islands Aquatic Preserve",1990,50,0,1.7,0.065,0.2572,0.352929662877429,"5002"
"130","Cape Romano-Ten Thousand Islands Aquatic Preserve",1991,29,0,0.79,0.045,0.270344827586207,0.294700001922302,"5002"
"131","Cape Romano-Ten Thousand Islands Aquatic Preserve",1994,8,0.02,0.869,0.175,0.35975,0.372853762984134,"5002"
"132","Cape Romano-Ten Thousand Islands Aquatic Preserve",1995,1,0.14,0.14,0.14,0.14,NA,"5002"
"133","Cape Romano-Ten Thousand Islands Aquatic Preserve",2001,20,3e-04,7e-04,0.00045,0.000465,0.000103998987849326,"514"
"134","Cape Romano-Ten Thousand Islands Aquatic Preserve",2002,207,0,1.724,0.012,0.153326570048309,0.28760449096397,"354"
"135","Cape Romano-Ten Thousand Islands Aquatic Preserve",2003,196,0,0.608,0.0195,0.167010204081633,0.214205293089714,"354"
"136","Cape Romano-Ten Thousand Islands Aquatic Preserve",2004,192,0,0.804,0.014,0.1485453125,0.19554201214047,"354"
"137","Cape Romano-Ten Thousand Islands Aquatic Preserve",2005,216,0,0.793,0.013,0.111236111111111,0.169468402190748,"354"
"138","Cape Romano-Ten Thousand Islands Aquatic Preserve",2006,204,0,0.818,0.0105,0.0984166666666667,0.152746958776387,"354"
"139","Cape Romano-Ten Thousand Islands Aquatic Preserve",2007,178,0,0.656,0.0155,0.120977528089888,0.159366009286451,"354"
"140","Cape Romano-Ten Thousand Islands Aquatic Preserve",2008,138,0,0.652,0.0205,0.139384057971014,0.187442655852524,"354"
"141","Cape Romano-Ten Thousand Islands Aquatic Preserve",2009,79,0,0.052,0.003,0.0177341772151899,0.0201791393051437,"354"
"142","Cape Romano-Ten Thousand Islands Aquatic Preserve",2010,81,0,0.063,0.005,0.016679012345679,0.020073506893723,"354"
"143","Cape Romano-Ten Thousand Islands Aquatic Preserve",2011,130,0,0.055,0.01,0.0112538461538462,0.0139151980593311,"354"
"144","Cape Romano-Ten Thousand Islands Aquatic Preserve",2012,106,0,1.13,0.02,0.268150943396226,0.353021321154371,"354"
"145","Cape Romano-Ten Thousand Islands Aquatic Preserve",2013,318,0,1.007,0.4175,0.325540880503145,0.322637098086508,"354"
"146","Cape Romano-Ten Thousand Islands Aquatic Preserve",2014,96,0.33,0.8,0.555,0.556145833333333,0.102632402718241,"354"
"147","Cape Romano-Ten Thousand Islands Aquatic Preserve",2015,159,0.24,1.32,0.58,0.604716981132076,0.184283804657879,"354"
"148","Cape Romano-Ten Thousand Islands Aquatic Preserve",2016,331,0,0.85,0.39,0.307054380664653,0.302619468125115,"354;3"
"149","Cape Romano-Ten Thousand Islands Aquatic Preserve",2017,277,0,1.4,0.356,0.34141155234657,0.370765400468949,"354"
"150","Cape Romano-Ten Thousand Islands Aquatic Preserve",2018,247,0,1.015,0.033,0.357789473684211,0.370230081465674,"354"
"151","Cape Romano-Ten Thousand Islands Aquatic Preserve",2019,339,0,1.31,0.48,0.365345132743363,0.367331205930697,"354"
"152","Cockroach Bay Aquatic Preserve",2000,16,3e-04,0.0015,0.00055,0.00074375,0.00039660013447636,"514"
"153","Cockroach Bay Aquatic Preserve",2001,16,5e-04,0.0018,0.0012,0.00120625,0.000397439722893086,"514"
"154","Cockroach Bay Aquatic Preserve",2002,9,9e-04,0.0016,0.0015,0.00135555555555556,0.000260341655863555,"514"
"155","Cockroach Bay Aquatic Preserve",2003,7,8e-04,0.0014,0.0011,0.0011,0.000208166599946613,"514"
"156","Cockroach Bay Aquatic Preserve",2004,21,4e-04,0.002,0.0011,0.00110952380952381,0.000396112057257491,"514"
"157","Cockroach Bay Aquatic Preserve",2005,27,2e-04,0.0015,9e-04,0.000825925925925926,0.000322958192808286,"514"
"158","Cockroach Bay Aquatic Preserve",2006,25,2e-04,0.0014,9e-04,0.000844,0.000313687742827162,"514"
"159","Cockroach Bay Aquatic Preserve",2007,22,4e-04,0.0015,8e-04,0.000886363636363636,0.000310599197474593,"514"
"160","Cockroach Bay Aquatic Preserve",2008,23,4e-04,0.0016,0.001,0.000939130434782609,0.000282423168047174,"514"
"161","Cockroach Bay Aquatic Preserve",2010,18,6e-04,0.0012,8e-04,0.000866666666666667,0.000194028500029066,"514"
"162","Cockroach Bay Aquatic Preserve",2011,6,4e-04,0.0011,0.00095,0.00085,0.000258843582110896,"514"
"163","Cockroach Bay Aquatic Preserve",2012,10,4e-04,0.0014,0.00105,0.00099,0.000307137319994385,"514"
"164","Cockroach Bay Aquatic Preserve",2013,18,7e-04,0.0016,0.00095,0.000988888888888889,0.000211128310272907,"514"
"165","Cockroach Bay Aquatic Preserve",2014,2,0.0011,0.0012,0.00115,0.00115,7.07106781186546e-05,"514"
"166","Cockroach Bay Aquatic Preserve",2017,42,0.003,1.353,0.3305,0.370833333333333,0.370509465773335,"5002"
